model_a,model_b,group,accuracy_difference,spike_rate_difference,spike_cka,membrane_cka,membrane_last_cka,temporal_cka,prediction_agreement,digit_geometry_correlation,recurrent_correlation,spectrum_cosine,centered_spectrum_cosine,shuffled_spectrum_cosine,sorted_activity_correlation
lif_2x2__membrane_mlp,cnn3__all_state_mlp,different_encoder_and_decoder,0.08399999999999996,0.007133290956092728,0.20450126812606031,0.40590287700750016,0.5181822116032526,0.18423611974493165,0.916,0.3282153269744625,-0.020325560980829743,0.7279875874519348,0.6506863832473755,0.9753076434135437,0.9808899161030598
lif_2x2__membrane_mlp,cnn3__lif_count,different_encoder_and_decoder,0.07599999999999996,0.0010102040082322974,0.24891284867809213,0.39263791058028813,0.4162101064065373,0.2029658894097331,0.918,0.23301291213242387,-0.0028226370792111322,0.6626154184341431,0.6724644303321838,0.9811879396438599,0.9935354408470944
lif_2x2__membrane_mlp,res_cnn__linear,different_encoder_and_decoder,0.07599999999999996,0.006864583419029563,0.26865984700712503,0.38190923229951323,0.5107411243748669,0.13708868501873592,0.922,0.28106200655531327,-0.012424246058990914,0.6932553648948669,0.7012198567390442,0.9809290766716003,0.9950129560591412
lif_2x2__membrane_mlp,res_cnn__membrane_mlp,same_decoder,0.07799999999999996,0.0014305910223871877,0.2664394550272876,0.3997880846247005,0.5244107748586496,0.2516528849638474,0.922,0.3044511546161983,-0.013209510328249158,0.6774640679359436,0.6835594177246094,0.9809170365333557,0.9964090315748785
lif_2x2__membrane_mlp,res_cnn__spike_mlp,different_encoder_and_decoder,0.07399999999999995,0.21913743623272844,0.199064106429574,0.3257565305504581,0.47062152877235736,0.2542764158754672,0.918,0.2786427854618248,-0.012920572973440144,0.8044483661651611,0.8176835775375366,0.9846832752227783,0.8938505419040332
lif_2x2__membrane_mlp,res_cnn__both_mlp,different_encoder_and_decoder,0.07799999999999996,0.0023447066744314137,0.20134800100367403,0.3934342679995524,0.5433909388908899,0.22984137001719376,0.922,0.3179864215054836,0.017984182060955787,0.6784067153930664,0.6864936351776123,0.9809300303459167,0.9938120255224668
lif_2x2__membrane_mlp,res_cnn__all_state_mlp,different_encoder_and_decoder,0.07399999999999995,0.010133290931063434,0.19886887151577,0.37113565617120337,0.4895669430223874,0.2554175107637234,0.92,0.2945051997153331,-0.0388449110294979,0.7284691333770752,0.6454464197158813,0.9721813797950745,0.9958105296423905
lif_2x2__membrane_mlp,res_cnn__lif_count,different_encoder_and_decoder,0.07199999999999995,0.0004786352072308833,0.26142923486548547,0.4062373883298671,0.4384424916517499,0.19427125117247987,0.916,0.2557313269219826,0.011756335855705706,0.6385499835014343,0.6490434408187866,0.9811819791793823,0.9941622502379284
lif_2x2__membrane_mlp,rows__linear,different_encoder_and_decoder,0.05399999999999994,0.0035504886783940814,0.283162962730288,0.5807303207128675,0.6414172900642726,0.20100926002876107,0.916,0.5984890644260785,-0.01683222468399365,0.718830406665802,0.7271440029144287,0.9819807410240173,0.9803443904640345
lif_2x2__membrane_mlp,rows__membrane_mlp,same_decoder,0.07399999999999995,0.0019433457717192761,0.33491032106933216,0.5815439430387292,0.6638539517453637,0.15679121873075555,0.924,0.5241286125817248,-0.00045399781941355007,0.7165905237197876,0.7208549976348877,0.9814926385879517,0.9885924295911663
lif_2x2__membrane_mlp,rows__spike_mlp,different_encoder_and_decoder,0.016000000000000014,0.16210799427174788,0.28536913502032407,0.45577956305873957,0.46883040203134435,0.1430483819655747,0.896,0.5775672395344825,0.01073175446641729,0.8991644978523254,0.9043387174606323,0.9843609929084778,0.9307743738981207
lif_2x2__membrane_mlp,rows__both_mlp,different_encoder_and_decoder,0.07199999999999995,0.0005850868203027271,0.32789282028066635,0.5777515553995902,0.6262764995778749,0.20974803930961955,0.922,0.5187793105241426,-0.009959604399941889,0.7159475684165955,0.7211805582046509,0.981784999370575,0.9842716276874243
lif_2x2__membrane_mlp,rows__all_state_mlp,different_encoder_and_decoder,0.07199999999999995,0.0030776464063334685,0.41113991837377256,0.5165779521247041,0.5238289664115245,0.15325547950385507,0.924,0.471982069806883,-0.0021690661953542856,0.6563559770584106,0.5973728895187378,0.9782067537307739,0.9888411130718907
lif_2x2__membrane_mlp,rows__lif_count,different_encoder_and_decoder,0.051999999999999935,6.967507352722419e-05,0.2972938825418964,0.528108787602808,0.4472856906086803,0.1545704870176416,0.918,0.5848164499433516,0.0056371750546577145,0.6683260798454285,0.6773627996444702,0.9811031222343445,0.9657661699617767
lif_2x2__spike_mlp,lif_2x2__both_mlp,same_encoder,0.3380000000000001,0.23477875206257642,0.4351974731639283,0.4813185568517458,0.3802224803902535,0.7557633909984827,0.572,0.6047653010610285,-0.008210511976216615,0.9010629653930664,0.9068771600723267,0.9955246448516846,0.8563742507650057
lif_2x2__spike_mlp,lif_2x2__all_state_mlp,same_encoder,0.368,0.24331653914173754,0.6535475343516992,0.5812496897268983,0.5646145974371733,0.7168533147299867,0.574,0.7589410971016617,0.019947609652435135,0.947029173374176,0.9107484221458435,0.9766254425048828,0.8260617191261037
lif_2x2__spike_mlp,lif_2x2__lif_count,same_encoder,0.29200000000000004,0.24439471728720916,0.7501601124845777,0.8724003490643844,0.8320809875856047,0.5676358353637081,0.566,0.9739825664566659,0.0010875206623821361,0.9312118887901306,0.9295979142189026,0.9998365640640259,0.5701871716133555
lif_2x2__spike_mlp,cnn2__linear,different_encoder_and_decoder,0.41000000000000003,0.23976769779674456,0.2746760982265075,0.16037663737831664,0.1694960029980304,0.18752153614192618,0.57,0.28455172264454687,0.011616126821363534,0.9318251609802246,0.9306716322898865,0.9996379613876343,0.8213250016170289
lif_2x2__spike_mlp,cnn2__membrane_mlp,different_encoder_and_decoder,0.41800000000000004,0.2353193559344266,0.18185775203395596,0.21212455826614543,0.21738067738824665,0.25155125213725593,0.572,0.36870488789920125,-0.018295174510917837,0.8899415135383606,0.889136016368866,0.9994655251502991,0.832047474995765
lif_2x2__spike_mlp,cnn2__spike_mlp,same_decoder,0.384,0.09369881912141864,0.33162552080936436,0.12120804249821197,0.2288148611708731,0.30695599458898193,0.578,0.2969138753514063,-0.0015658785853342287,0.9550050497055054,0.949405312538147,0.9996126294136047,0.9484232415044251
lif_2x2__spike_mlp,cnn2__both_mlp,different_encoder_and_decoder,0.41600000000000004,0.2357239052491641,0.23513550651584494,0.20375511172069102,0.2331763462989168,0.20210906661806183,0.572,0.4137499499036461,-0.03221449940087525,0.9096129536628723,0.9069952964782715,0.9995638132095337,0.831871345225409
lif_2x2__spike_mlp,cnn2__all_state_mlp,different_encoder_and_decoder,0.41600000000000004,0.24112122670923417,0.15249657751049359,0.21001157856344466,0.22797858847834493,0.23972328241529614,0.572,0.4514496870913577,0.002840386695099431,0.9051938056945801,0.8547145128250122,0.9885482788085938,0.8167418741519931
lif_2x2__spike_mlp,cnn2__lif_count,different_encoder_and_decoder,0.41400000000000003,0.2348943984487705,0.33032618643033657,0.1845128952735974,0.24295253613254822,0.20990049229801983,0.574,0.29035524735247287,0.016665151909901674,0.88544762134552,0.8853769302368164,0.9994980096817017,0.8291648047705795
lif_2x2__spike_mlp,cnn3__linear,different_encoder_and_decoder,0.42000000000000004,0.23238674532580866,0.24191405045983153,0.16002098285994767,0.17444616810948685,0.1878267958247342,0.57,0.23862796227956856,0.023233396801360443,0.9235679507255554,0.9221181869506836,0.9996435046195984,0.8458194439864108
lif_2x2__spike_mlp,cnn3__membrane_mlp,different_encoder_and_decoder,0.41600000000000004,0.23031340347530688,0.20048097880978696,0.2104974844803254,0.20359549787144232,0.20772679200099536,0.574,0.44386130153691145,0.009851809170028333,0.9126845598220825,0.9104834794998169,0.9996129870414734,0.8533751454034195
lif_2x2__spike_mlp,cnn3__spike_mlp,same_decoder,0.41400000000000003,0.0694883600272927,0.2761788465342114,0.22995870411456207,0.20275788135934783,0.28044578706319895,0.576,0.46362392832275195,-0.009732856798756885,0.9729743003845215,0.9782408475875854,0.99839848279953,0.9573994266158818
lif_2x2__spike_mlp,cnn3__both_mlp,different_encoder_and_decoder,0.42000000000000004,0.2277602571715009,0.28821430738551373,0.24187122186867163,0.20505548936342546,0.18369932474861125,0.57,0.4720616366718351,-0.022338286247193088,0.9431867599487305,0.9415805339813232,0.9997384548187256,0.8511092415741562
lif_2x2__spike_mlp,cnn3__all_state_mlp,different_encoder_and_decoder,0.42600000000000005,0.23821603959272517,0.14740978857268983,0.2308055170950155,0.18497181909968854,0.17777886724751168,0.574,0.4271170344548644,0.002436480655976725,0.9112123250961304,0.8680521249771118,0.9821945428848267,0.8398867674307771
lif_2x2__spike_mlp,cnn3__lif_count,different_encoder_and_decoder,0.41800000000000004,0.23007254462840016,0.30736100113128867,0.1866603073693343,0.17753846256352468,0.19494366123556575,0.574,0.2784831788152574,-0.01701697819308169,0.9010797739028931,0.901066243648529,0.9995670318603516,0.8398515022313106
lif_2x2__spike_mlp,res_cnn__linear,different_encoder_and_decoder,0.41800000000000004,0.23794733205566201,0.3043627110047731,0.20622879162640698,0.1828839075442802,0.17282064111632264,0.57,0.43785304888862825,-0.01680487853514969,0.9179250001907349,0.9166924357414246,0.9995180368423462,0.8449603345856975
lif_2x2__spike_mlp,res_cnn__membrane_mlp,different_encoder_and_decoder,0.42000000000000004,0.23251333965901963,0.2863811610495133,0.20327315075781086,0.19148723711858578,0.2330349950905639,0.57,0.38213644615774156,0.006275988837267324,0.9102621674537659,0.9083767533302307,0.99951171875,0.856560004402531
lif_2x2__spike_mlp,res_cnn__spike_mlp,same_decoder,0.41600000000000004,0.011945312403904007,0.33663157346306305,0.2372703132391296,0.24982825740908693,0.3114641036532123,0.57,0.48734889995186037,-0.030130149439260692,0.9741263389587402,0.9764859676361084,0.9993629455566406,0.964860704706852
lif_2x2__spike_mlp,res_cnn__both_mlp,different_encoder_and_decoder,0.42000000000000004,0.23342745531106388,0.2730373523802241,0.214943189940723,0.21439433281699977,0.20218971738795116,0.574,0.41608426119793424,0.015844646296500925,0.914074718952179,0.9132078886032104,0.9995049238204956,0.8491006898922159
lif_2x2__spike_mlp,res_cnn__all_state_mlp,different_encoder_and_decoder,0.41600000000000004,0.24121603956769588,0.12495432729276143,0.27171743501738027,0.2034068654515474,0.1928951704175405,0.574,0.5623287001267279,0.023078139501268573,0.9281136989593506,0.8757268190383911,0.9784561395645142,0.8547001450350233
lif_2x2__spike_mlp,res_cnn__lif_count,different_encoder_and_decoder,0.41400000000000003,0.23060411342940157,0.42660618275224527,0.16708886340922594,0.20789884174819306,0.20344928360863715,0.576,0.2634790192727146,0.003794634094417499,0.8911948204040527,0.891573429107666,0.9995678663253784,0.8417427617394956
lif_2x2__spike_mlp,rows__linear,different_encoder_and_decoder,0.396,0.23463323731502653,0.25600384732980014,0.2790758441992182,0.23532605451398417,0.18575296846054626,0.574,0.6080204204206657,-0.004725800461277004,0.9397775530815125,0.9390387535095215,0.9996660351753235,0.8274049628311376
lif_2x2__spike_mlp,rows__membrane_mlp,different_encoder_and_decoder,0.41600000000000004,0.23302609440835173,0.26474857817451053,0.3382509183091507,0.27833514644785984,0.1471025447639778,0.576,0.7196645903008355,0.029670789964158183,0.9318655729293823,0.929348886013031,0.9996001124382019,0.8394647529647254
lif_2x2__spike_mlp,rows__spike_mlp,same_decoder,0.3580000000000001,0.06897475436488457,0.2771834045352212,0.1725794127396318,0.2759493440046707,0.17596825616261538,0.57,0.4803250953501079,-0.019085825964025065,0.9945713877677917,0.9937493801116943,0.9999284744262695,0.9688331807407471
lif_2x2__spike_mlp,rows__both_mlp,different_encoder_and_decoder,0.41400000000000003,0.23166783545693517,0.28216109229903286,0.31687183973620625,0.2847725679536871,0.21439820176277638,0.572,0.6819259859042518,0.062450831645863764,0.9316116571426392,0.9300127029418945,0.9996374249458313,0.8333989684102054
lif_2x2__spike_mlp,rows__all_state_mlp,different_encoder_and_decoder,0.41400000000000003,0.23416039504296593,0.29081752227761276,0.4411999273251721,0.38583758271651863,0.16258719304459396,0.572,0.7965451628994836,-0.030823113700533134,0.8857921361923218,0.8385978937149048,0.9862347841262817,0.8459574797717198
lif_2x2__spike_mlp,rows__lif_count,different_encoder_and_decoder,0.394,0.23101307356310521,0.27357892919779747,0.2880666594591142,0.18201082764128232,0.1354524741086928,0.566,0.6493138491621396,-0.0004679507044438513,0.9041680097579956,0.9033058285713196,0.9995319843292236,0.8112946857540796
lif_2x2__both_mlp,lif_2x2__all_state_mlp,same_encoder,0.029999999999999916,0.00853778707916111,0.7019442686493155,0.7885379412155552,0.7519267552995154,0.7813133795424569,0.924,0.7945859431330797,-0.048692420004873595,0.7807378172874451,0.7101517915725708,0.9776875376701355,0.9916745626060895
lif_2x2__both_mlp,lif_2x2__lif_count,same_encoder,0.04600000000000004,0.009615965224632721,0.5852098635779536,0.4498087633196336,0.30194530609746734,0.5362120715237838,0.86,0.5384105696258827,-0.006147255247585042,0.7138846516609192,0.7218142747879028,0.9937387704849243,0.7702158866705894
lif_2x2__both_mlp,cnn2__linear,different_encoder_and_decoder,0.07199999999999995,0.004988945734168131,0.2891835683339734,0.4603328626647198,0.5401649691685129,0.11525136951152662,0.916,0.42050954834876514,-0.04545981186087428,0.7139934301376343,0.7230519652366638,0.9927979707717896,0.9917626945065781
lif_2x2__both_mlp,cnn2__membrane_mlp,different_encoder_and_decoder,0.07999999999999996,0.0005406038718501795,0.20886123993515374,0.49088291444320203,0.5715828253018229,0.2207294365064809,0.92,0.4631273216364465,0.0268407451585868,0.6652204990386963,0.6745390295982361,0.9920953512191772,0.9906256558000474
lif_2x2__both_mlp,cnn2__spike_mlp,different_encoder_and_decoder,0.04599999999999993,0.14107993294115778,0.2263212949937453,0.2709872259694138,0.4081769863280727,0.2675258143515396,0.904,0.2945379148014154,0.007682399708069259,0.7581461071968079,0.7532796263694763,0.9952857494354248,0.9225332421784181
lif_2x2__both_mlp,cnn2__both_mlp,same_decoder,0.07799999999999996,0.0009451531865876557,0.27187167153920383,0.468355036885813,0.5465338743742668,0.19147232181375076,0.916,0.4620753874475195,-0.008673065550375912,0.6774159669876099,0.682731568813324,0.9924877285957336,0.9949787907292119
lif_2x2__both_mlp,cnn2__all_state_mlp,different_encoder_and_decoder,0.07799999999999996,0.006342474646657744,0.2576763203243541,0.45203588098712855,0.5348716556576345,0.2459577825586585,0.918,0.43528931075824906,-0.0016223044878114522,0.7097467184066772,0.6209938526153564,0.9874586462974548,0.9884870120005415
lif_2x2__both_mlp,cnn2__lif_count,different_encoder_and_decoder,0.07599999999999996,0.00011564638619408069,0.2009980910218729,0.405571234227929,0.457659470730008,0.15613929836116522,0.912,0.29251965550773296,-0.0027700651035276825,0.6321671605110168,0.6439196467399597,0.9922465682029724,0.9924679626769872
lif_2x2__both_mlp,cnn3__linear,different_encoder_and_decoder,0.08199999999999996,0.0023920067367677513,0.2586277325440349,0.3983375415912496,0.5167231982064853,0.12194034408430914,0.918,0.3242039027310105,-0.009175719081258532,0.6977786421775818,0.7058746814727783,0.9928275346755981,0.9876904355093169
lif_2x2__both_mlp,cnn3__membrane_mlp,different_encoder_and_decoder,0.07799999999999996,0.004465348587269546,0.24676471821690207,0.4218813912021436,0.5248904795550097,0.1625769462545566,0.918,0.4314336679854236,-0.0016123377695851158,0.6939886808395386,0.7009981870651245,0.992691695690155,0.9920482465492716
lif_2x2__both_mlp,cnn3__spike_mlp,different_encoder_and_decoder,0.07599999999999996,0.16529039203528373,0.2310546875655448,0.4174282024825985,0.4787168301491986,0.21530423518473257,0.916,0.45278900275752304,0.015492087974192707,0.7978687286376953,0.8086721897125244,0.9941545724868774,0.8992553502878515
lif_2x2__both_mlp,cnn3__both_mlp,same_decoder,0.08199999999999996,0.007018494891075533,0.22797811417611258,0.44546415193985334,0.5356874940087495,0.1324574295824622,0.918,0.4380476834755133,-0.004231306962772727,0.7405866980552673,0.7474735379219055,0.9932286739349365,0.9956131430257807
lif_2x2__both_mlp,cnn3__all_state_mlp,different_encoder_and_decoder,0.08799999999999997,0.0034372875301487502,0.23951818403762387,0.4054732244214769,0.5356804929135567,0.15169049501715556,0.912,0.37987307792090685,0.00991496943903137,0.7341085076332092,0.656022846698761,0.982211172580719,0.9948538370681654
