label,synset,name,support,702k_top1_accuracy,702k_top5_accuracy,702k_top10_accuracy,702k_mean_loss,702k_mean_true_rank,702k_precision,702k_recall,702k_f1,2048unit_top1_accuracy,2048unit_top5_accuracy,2048unit_top10_accuracy,2048unit_mean_loss,2048unit_mean_true_rank,2048unit_precision,2048unit_recall,2048unit_f1,ensemble_top1_accuracy,ensemble_top5_accuracy,ensemble_top10_accuracy,ensemble_mean_loss,ensemble_mean_true_rank,ensemble_precision,ensemble_recall,ensemble_f1,small_minus_large_top1_accuracy,ensemble_minus_small_top1_accuracy,small_minus_large_top5_accuracy,ensemble_minus_small_top5_accuracy,small_minus_large_top10_accuracy,ensemble_minus_small_top10_accuracy,small_minus_large_mean_loss,ensemble_minus_small_mean_loss
30,n02123045,"tabby, tabby cat",50,0.18,0.6,0.88,2.8220970865140966,8.76,0.2142857142857142,0.18,0.1956521739130435,0.22,0.6,0.78,2.911728386435278,9.26,0.171875,0.22,0.1929824561403509,0.22,0.66,0.8,2.6700952257601096,8.0,0.2156862745098039,0.22,0.2178217821782178,-0.04000000000000001,0.04000000000000001,0.0,0.06000000000000005,0.09999999999999998,-0.07999999999999996,-0.08963129992118146,-0.15200186075398703
31,n02123394,Persian cat,49,0.6122448979591837,0.7346938775510204,0.8163265306122449,1.839673404423844,6.142857142857143,0.4615384615384615,0.6122448979591837,0.5263157894736843,0.6122448979591837,0.7142857142857143,0.8163265306122449,2.070007724698085,6.755102040816326,0.4054054054054054,0.6122448979591837,0.4878048780487805,0.6122448979591837,0.7551020408163265,0.7959183673469388,1.7483865686280406,5.306122448979592,0.4411764705882353,0.6122448979591837,0.5128205128205129,0.0,0.0,0.020408163265306145,0.020408163265306034,0.0,-0.020408163265306145,-0.23033432027424094,-0.09128683579580343
32,n02124075,Egyptian cat,50,0.18,0.44,0.62,3.678257478086416,14.38,0.1607142857142857,0.18,0.1698113207547169,0.1,0.5,0.64,3.5725671674572625,14.06,0.131578947368421,0.1,0.1136363636363636,0.2,0.52,0.64,3.354943885304541,12.06,0.2,0.2,0.2,0.07999999999999999,0.020000000000000018,-0.06,0.08000000000000002,-0.020000000000000018,0.020000000000000018,0.10569031062915357,-0.3233135927818753
33,n02125311,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",50,0.34,0.72,0.86,2.484147387685013,6.96,0.3090909090909091,0.34,0.3238095238095237,0.28,0.72,0.86,2.537649487501165,6.92,0.2333333333333333,0.28,0.2545454545454545,0.3,0.78,0.9,2.1891029801043222,4.78,0.3,0.3,0.3,0.06,-0.040000000000000036,0.0,0.06000000000000005,0.0,0.040000000000000036,-0.05350209981615173,-0.29504440758069084
34,n02129165,"lion, king of beasts, Panthera leo",50,0.5,0.76,0.84,1.948825264196056,5.32,0.4166666666666667,0.5,0.4545454545454545,0.6,0.78,0.84,1.9992001948811944,9.28,0.4477611940298507,0.6,0.5128205128205128,0.56,0.76,0.86,1.8187676200969944,6.4,0.3888888888888889,0.56,0.4590163934426229,-0.09999999999999998,0.06000000000000005,-0.020000000000000018,0.0,0.0,0.020000000000000018,-0.05037493068513843,-0.1300576440990615
35,n02132136,"brown bear, bruin, Ursus arctos",49,0.4693877551020408,0.7755102040816326,0.8979591836734694,1.93869319091773,4.36734693877551,0.3538461538461538,0.4693877551020408,0.4035087719298246,0.6122448979591837,0.8367346938775511,0.8571428571428571,1.7494289187883492,6.081632653061225,0.3260869565217391,0.6122448979591837,0.425531914893617,0.673469387755102,0.8163265306122449,0.9183673469387756,1.5765617801395264,3.877551020408163,0.3928571428571428,0.673469387755102,0.4962406015037593,-0.1428571428571429,0.20408163265306123,-0.061224489795918435,0.04081632653061229,0.04081632653061229,0.020408163265306256,0.1892642721293809,-0.36213141077820366
36,n02165456,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",50,0.72,0.88,0.92,1.1472150573233566,6.76,0.6545454545454545,0.72,0.6857142857142857,0.6,0.84,0.92,1.4082206983965044,4.36,0.6818181818181818,0.6,0.6382978723404256,0.72,0.86,0.9,1.1221470069176882,4.02,0.6792452830188679,0.72,0.6990291262135921,0.12,0.0,0.040000000000000036,-0.020000000000000018,0.0,-0.020000000000000018,-0.26100564107314783,-0.025068050405668396
37,n02190166,fly,49,0.4285714285714285,0.7959183673469388,0.8979591836734694,2.1531174994948965,6.63265306122449,0.4117647058823529,0.4285714285714285,0.42,0.5102040816326531,0.7142857142857143,0.8367346938775511,2.210660785864041,9.020408163265309,0.4385964912280701,0.5102040816326531,0.4716981132075472,0.5306122448979592,0.7959183673469388,0.8571428571428571,1.900537813476084,6.428571428571429,0.4406779661016949,0.5306122448979592,0.4814814814814815,-0.08163265306122458,0.10204081632653073,0.08163265306122447,0.0,0.061224489795918324,-0.04081632653061229,-0.0575432863691443,-0.25257968601881253
38,n02206856,bee,50,0.58,0.88,0.94,1.3200365437524928,2.84,0.4754098360655737,0.58,0.5225225225225224,0.52,0.8,0.9,1.7056725630923426,5.86,0.4126984126984127,0.52,0.4601769911504424,0.6,0.88,0.92,1.3440820177364263,2.88,0.4918032786885246,0.6,0.5405405405405406,0.05999999999999994,0.020000000000000018,0.07999999999999996,0.0,0.039999999999999925,-0.019999999999999907,-0.3856360193398498,0.02404547398393353
39,n02226429,"grasshopper, hopper",50,0.38,0.78,0.8,2.563854023565124,10.1,0.3392857142857143,0.38,0.3584905660377359,0.3,0.72,0.84,2.618537927647816,9.4,0.2777777777777778,0.3,0.2884615384615385,0.36,0.8,0.84,2.413044295424238,9.44,0.36,0.36,0.36,0.08000000000000002,-0.020000000000000018,0.06000000000000005,0.020000000000000018,-0.039999999999999925,0.039999999999999925,-0.05468390408269164,-0.150809728140886
40,n02231487,"walking stick, walkingstick, stick insect",50,0.3,0.64,0.72,3.30441285120076,11.12,0.3,0.3,0.3,0.24,0.6,0.74,3.162884410423591,10.1,0.3157894736842105,0.24,0.2727272727272727,0.26,0.66,0.78,2.8475912022293124,9.02,0.2765957446808511,0.26,0.268041237113402,0.06,-0.03999999999999998,0.040000000000000036,0.020000000000000018,-0.020000000000000018,0.06000000000000005,0.14152844077716864,-0.4568216489714474
41,n02233338,"cockroach, roach",50,0.26,0.56,0.84,2.915383751640002,8.46,0.26,0.26,0.26,0.36,0.52,0.64,3.001065295971779,10.0,0.5294117647058824,0.36,0.4285714285714285,0.38,0.62,0.74,2.7367952206403823,8.62,0.4130434782608695,0.38,0.3958333333333333,-0.09999999999999998,0.12,0.040000000000000036,0.05999999999999994,0.19999999999999996,-0.09999999999999998,-0.0856815443317771,-0.1785885309996198
42,n02236044,"mantis, mantid",50,0.48,0.76,0.82,2.5611423106624285,9.86,0.4137931034482758,0.48,0.4444444444444445,0.34,0.76,0.82,2.450709984969909,9.42,0.3148148148148148,0.34,0.3269230769230769,0.42,0.8,0.82,2.30865975194936,8.98,0.3442622950819672,0.42,0.3783783783783784,0.13999999999999996,-0.06,0.0,0.040000000000000036,0.0,0.0,0.11043232569251948,-0.25248255871306835
43,n02268443,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",50,0.46,0.74,0.86,2.459221199742334,10.68,0.5476190476190477,0.46,0.5000000000000001,0.34,0.78,0.86,2.4700035370069804,9.2,0.4146341463414634,0.34,0.3736263736263737,0.44,0.76,0.88,2.275214535392584,9.5,0.55,0.44,0.4888888888888889,0.12,-0.020000000000000018,-0.040000000000000036,0.020000000000000018,0.0,0.020000000000000018,-0.01078233726464628,-0.18400666434975
44,n02279972,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",50,0.74,0.86,0.94,1.1565917139364876,5.38,0.8043478260869565,0.74,0.7708333333333333,0.76,0.9,0.9,1.110185385050655,6.22,0.6129032258064516,0.76,0.6785714285714285,0.78,0.9,0.92,0.9473436587630906,4.72,0.7358490566037735,0.78,0.7572815533980584,-0.020000000000000018,0.040000000000000036,-0.040000000000000036,0.040000000000000036,0.039999999999999925,-0.019999999999999907,0.04640632888583274,-0.20924805517339706
45,n02281406,"sulphur butterfly, sulfur butterfly",50,0.74,0.94,0.96,0.967404657093586,5.32,0.6851851851851852,0.74,0.7115384615384615,0.78,0.92,0.94,1.0724119131132273,6.28,0.6610169491525424,0.78,0.7155963302752293,0.8,0.94,0.96,0.9155653350344708,5.68,0.7272727272727273,0.8,0.761904761904762,-0.040000000000000036,0.06000000000000005,0.019999999999999907,0.0,0.020000000000000018,0.0,-0.10500725601964123,-0.051839322059115234
