label,synset,name,support,top1_accuracy,top5_accuracy,top10_accuracy,mean_loss,mean_true_probability,mean_true_rank,median_true_rank,predicted_count,false_positive_count,precision,recall,f1
94,n03100240,convertible,49,0.46938775510204084,0.8571428571428571,0.9387755102040817,1.8415924093873852,0.32019119000962365,5.877551020408164,2.0,43,20,0.5348837209302325,0.46938775510204084,0.5
95,n03126707,crane,48,0.375,0.6666666666666666,0.7916666666666666,2.6955435261180063,0.23827737471367008,9.708333333333334,3.0,48,30,0.375,0.375,0.375
96,n03160309,"dam, dike, dyke",47,0.3829787234042553,0.6808510638297872,0.851063829787234,2.652070836903881,0.22639179687882532,8.638297872340425,3.0,48,30,0.375,0.3829787234042553,0.37894736842105264
97,n03179701,desk,49,0.3877551020408163,0.6530612244897959,0.7551020408163265,2.8208152463954983,0.24492003033872783,15.693877551020408,2.0,57,38,0.3333333333333333,0.3877551020408163,0.3584905660377358
98,n03201208,"dining table, board",50,0.46,0.66,0.74,2.451300519448142,0.35964515922159757,12.02,2.0,60,37,0.38333333333333336,0.46,0.41818181818181815
99,n03250847,drumstick,49,0.24489795918367346,0.42857142857142855,0.5714285714285714,3.7861675366565413,0.1293456170664057,20.142857142857142,7.0,40,28,0.3,0.24489795918367346,0.2696629213483146
100,n03255030,dumbbell,46,0.1956521739130435,0.5,0.6739130434782609,3.441393651202064,0.1045253000335871,11.91304347826087,5.5,34,25,0.2647058823529412,0.1956521739130435,0.225
101,n03355925,"flagpole, flagstaff",49,0.5102040816326531,0.7959183673469388,0.8367346938775511,1.8710231950389076,0.45909046849476615,6.918367346938775,1.0,41,16,0.6097560975609756,0.5102040816326531,0.5555555555555556
102,n03388043,fountain,46,0.391304347826087,0.6956521739130435,0.717391304347826,2.8137268114446554,0.2723560778387311,13.891304347826088,2.0,48,30,0.375,0.391304347826087,0.3829787234042554
103,n03393912,freight car,50,0.76,0.82,0.86,1.3085397536414802,0.686062766447665,8.88,1.0,51,13,0.7450980392156863,0.76,0.7524752475247525
104,n03400231,"frying pan, frypan, skillet",50,0.16,0.64,0.72,3.052349979229898,0.15608705902413259,12.0,3.0,35,27,0.22857142857142856,0.16,0.18823529411764708
105,n03404251,fur coat,48,0.22916666666666666,0.5208333333333334,0.6666666666666666,3.1224971838383055,0.11762939428078834,10.333333333333334,4.5,45,34,0.24444444444444444,0.22916666666666666,0.23655913978494625
106,n03424325,"gasmask, respirator, gas helmet",49,0.22448979591836735,0.5510204081632653,0.6326530612244898,3.4724767536019305,0.10743123187643833,14.673469387755102,5.0,39,28,0.28205128205128205,0.22448979591836735,0.25
107,n03444034,go-kart,49,0.673469387755102,0.8163265306122449,0.8571428571428571,1.4723001838602519,0.5565427223764984,6.918367346938775,1.0,54,21,0.6111111111111112,0.673469387755102,0.6407766990291262
108,n03447447,gondola,47,0.8297872340425532,0.8723404255319149,0.8936170212765957,1.075505033932028,0.6377933598348846,4.76595744680851,1.0,56,17,0.6964285714285714,0.8297872340425532,0.7572815533980581
109,n03544143,hourglass,48,0.2916666666666667,0.6041666666666666,0.6875,3.210639537451879,0.15246748224451248,13.583333333333334,4.0,42,28,0.3333333333333333,0.2916666666666667,0.3111111111111111
110,n03584254,iPod,50,0.32,0.6,0.72,3.2564534730714727,0.156382209831361,14.28,4.0,47,31,0.3404255319148936,0.32,0.32989690721649484
111,n03599486,"jinrikisha, ricksha, rickshaw",49,0.6122448979591837,0.7551020408163265,0.8367346938775511,1.8535099718752208,0.4647217839040544,7.6938775510204085,1.0,58,28,0.5172413793103449,0.6122448979591837,0.5607476635514018
112,n03617480,kimono,50,0.32,0.58,0.8,2.618367798412159,0.19667545773069117,6.94,5.0,66,50,0.24242424242424243,0.32,0.2758620689655172
113,n03637318,"lampshade, lamp shade",50,0.22,0.48,0.66,3.2685541138837073,0.144932860868684,10.72,6.0,33,22,0.3333333333333333,0.22,0.26506024096385544
